PacketSize,Latency(ms),Throughput(Mbps)
7714,0.11,547.47
7724,0.09,632.56
7734,0.10,608.81
7744,0.11,556.07
7754,0.09,623.05
7764,0.11,547.30
7774,0.09,627.89
7784,0.11,539.88
7794,0.11,548.15
7804,0.09,644.79
7814,0.10,611.07
7824,0.12,506.34
7834,0.09,641.29
7844,0.09,665.46
7854,0.10,592.58
7864,0.12,512.62
7874,0.09,658.56
7884,0.10,614.09
7894,0.10,600.34
7904,0.12,516.60
7914,0.09,673.80
7924,0.10,596.62
7934,0.12,506.71
7944,0.09,640.88
7954,0.11,565.03
7964,0.13,458.19
7974,0.10,585.25
7984,0.12,500.11
7994,0.10,634.05
8004,0.09,647.64
8014,0.10,638.16
8024,0.09,663.04
8034,0.08,721.88
8044,0.09,667.80
8054,0.11,557.34
8064,0.10,629.91
8074,0.12,527.76
8084,0.10,639.86
8094,0.10,605.00
8104,0.10,594.91
8114,0.13,479.81
8124,0.10,611.56
8134,0.12,504.94
8144,0.09,656.94
8154,0.09,676.56
8164,0.09,697.65
8174,0.12,501.83
8184,0.09,701.72
8194,0.10,657.78
8204,0.10,607.92
8214,0.11,588.65
8224,0.09,702.62
8234,0.10,599.89
8244,0.10,654.90
8254,0.10,615.33
8264,0.09,673.60
8274,0.08,791.35
8284,0.11,588.86
8294,0.09,669.47
8304,0.15,429.14
8314,0.11,585.70
8324,0.09,668.85
8334,0.09,730.84
8344,0.07,916.76
8354,0.12,542.80
8364,0.09,674.12
8374,0.09,707.04
8384,0.10,627.91
8394,0.09,725.10
8404,0.07,925.88
8414,0.10,611.66
8424,0.10,662.44
8434,0.09,717.27
8444,0.09,703.15
8454,0.10,637.34
8464,0.11,602.32
8474,0.08,774.55
8484,0.10,668.88
8494,0.11,591.39
8504,0.08,806.67
8514,0.07,919.55
8524,0.10,638.39
8534,0.10,623.23
8544,0.09,691.11
8554,0.09,732.62
8564,0.14,461.43
8574,0.18,369.05
8584,0.19,347.69
8594,0.07,992.99
8604,0.10,648.65
8614,0.11,605.26
8624,0.09,749.04
8634,0.16,422.94
8644,0.10,672.39
8654,0.11,579.98
8664,0.08,796.69
8674,0.11,601.61
8684,0.09,717.34
8694,0.11,583.84
8704,0.10,643.35
8714,0.10,662.57
8724,0.10,678.27
8734,0.13,521.32
8744,0.11,610.13
8754,0.12,576.90
8764,0.09,719.51
8774,0.11,623.86
8784,0.09,768.01
8794,0.09,740.78
8804,0.12,573.70
8814,0.09,737.91
8824,0.10,696.41
8834,0.12,540.14
8844,0.09,729.22
8854,0.10,644.20
8864,0.13,522.38
8874,0.09,762.68
8884,0.10,681.75
8894,0.11,636.19
8904,0.11,591.18
8914,0.09,722.73
8924,0.11,635.12
8934,0.11,647.86
8944,0.11,622.09
8954,0.09,743.51
8964,0.10,716.42
8974,0.11,605.36
8984,0.10,700.63
8994,0.09,754.97
